date,day_of_week,sales,customers,avg_order_value,week
2025-06-03,Tuesday,1041.91,97,7.39,23
2025-06-04,Wednesday,1093.41,127,13.84,23
2025-06-05,Thursday,1033.28,131,7.49,23
2025-06-06,Friday,1032.14,103,6.93,23
2025-06-07,Saturday,710.8,89,5.51,23
2025-06-08,Sunday,911.3,113,6.85,23
2025-06-09,Monday,1291.79,85,14.04,24
2025-06-10,Tuesday,1311.6,100,14.74,24
2025-06-11,Wednesday,1347.3,122,18.46,24
2025-06-12,Thursday,1237.15,125,19.33,24
2025-06-13,Friday,1234.61,109,8.51,24
2025-06-14,Saturday,737.63,125,7.6,24
2025-06-15,Sunday,983.73,123,8.63,24
2025-06-16,Monday,1031.39,52,8.39,25
2025-06-17,Tuesday,1288.49,76,11.5,25
2025-06-18,Wednesday,1260.29,79,11.06,25
2025-06-19,Thursday,1452.82,95,9.88,25
2025-06-20,Friday,1601.22,52,25.42,25
2025-06-21,Saturday,964.57,52,10.96,25
2025-06-22,Sunday,855.11,130,8.91,25
2025-06-23,Monday,1336.9,121,15.55,26
2025-06-24,Tuesday,1620.7,114,12.28,26
2025-06-25,Wednesday,1429.68,126,12.22,26
2025-06-26,Thursday,1280.07,58,12.67,26
2025-06-27,Friday,1711.97,149,24.11,26
2025-06-28,Saturday,1025.16,108,7.17,26
2025-06-29,Sunday,895.56,73,6.35,26
2025-06-30,Monday,1689.93,92,17.98,27
2025-07-01,Tuesday,1889.36,137,20.76,27
2025-07-02,Wednesday,1699.44,123,30.9,27
